matchday,date,date_display,time_et,day_of_week,month,date_sort,home_team,away_team,stadium,venue_type,game_label
7,09/05/2026 20:45,"May 09, 2026",8:45 PM,Saturday,May,2026-05-09,Angel City FC,San Diego Wave FC,BMO Stadium,home_venue,"May 09, 2026  8:45 PM  —  Angel City FC vs San Diego Wave FC"
7,10/05/2026 12:30,"May 10, 2026",12:30 PM,Sunday,May,2026-05-10,Kansas City Current,Chicago Stars FC,CPKC Stadium,home_venue,"May 10, 2026  12:30 PM  —  Kansas City Current vs Chicago Stars FC"
7,10/05/2026 16:00,"May 10, 2026",4:00 PM,Sunday,May,2026-05-10,Bay FC,Utah Royals FC,PayPal Park,home_venue,"May 10, 2026  4:00 PM  —  Bay FC vs Utah Royals FC"
7,10/05/2026 19:00,"May 10, 2026",7:00 PM,Sunday,May,2026-05-10,Seattle Reign FC,Washington Spirit,Lumen Field,home_venue,"May 10, 2026  7:00 PM  —  Seattle Reign FC vs Washington Spirit"
8,12/05/2026 19:00,"May 12, 2026",7:00 PM,Tuesday,May,2026-05-12,Boston Legacy FC,Orlando Pride,Gillette Stadium,home_venue,"May 12, 2026  7:00 PM  —  Boston Legacy FC vs Orlando Pride"
8,15/05/2026 20:00,"May 15, 2026",8:00 PM,Friday,May,2026-05-15,Kansas City Current,Houston Dash,CPKC Stadium,home_venue,"May 15, 2026  8:00 PM  —  Kansas City Current vs Houston Dash"
8,15/05/2026 22:00,"May 15, 2026",10:00 PM,Friday,May,2026-05-15,San Diego Wave FC,Washington Spirit,Snapdragon Stadium,home_venue,"May 15, 2026  10:00 PM  —  San Diego Wave FC vs Washington Spirit"
8,15/05/2026 22:00,"May 15, 2026",10:00 PM,Friday,May,2026-05-15,Seattle Reign FC,NJ/NY Gotham FC,Lumen Field,home_venue,"May 15, 2026  10:00 PM  —  Seattle Reign FC vs NJ/NY Gotham FC"
8,15/05/2026 22:00,"May 15, 2026",10:00 PM,Friday,May,2026-05-15,Bay FC,Boston Legacy FC,PayPal Park,home_venue,"May 15, 2026  10:00 PM  —  Bay FC vs Boston Legacy FC"
8,16/05/2026 18:30,"May 16, 2026",6:30 PM,Saturday,May,2026-05-16,North Carolina Courage,Chicago Stars FC,First Horizon Stadium at WakeMed Soccer Park,home_venue,"May 16, 2026  6:30 PM  —  North Carolina Courage vs Chicago Stars FC"
8,16/05/2026 20:45,"May 16, 2026",8:45 PM,Saturday,May,2026-05-16,Denver Summit FC,Orlando Pride,Dick's Sporting Goods Park,fifa_displaced,"May 16, 2026  8:45 PM  —  Denver Summit FC vs Orlando Pride"
8,17/05/2026 18:00,"May 17, 2026",6:00 PM,Sunday,May,2026-05-17,Portland Thorns FC,Angel City FC,Providence Park,home_venue,"May 17, 2026  6:00 PM  —  Portland Thorns FC vs Angel City FC"
8,17/05/2026 20:00,"May 17, 2026",8:00 PM,Sunday,May,2026-05-17,Utah Royals FC,Racing Louisville FC,America First Field,home_venue,"May 17, 2026  8:00 PM  —  Utah Royals FC vs Racing Louisville FC"
9,20/05/2026 20:00,"May 20, 2026",8:00 PM,Wednesday,May,2026-05-20,Houston Dash,San Diego Wave FC,Shell Energy Stadium,home_venue,"May 20, 2026  8:00 PM  —  Houston Dash vs San Diego Wave FC"
9,20/05/2026 22:00,"May 20, 2026",10:00 PM,Wednesday,May,2026-05-20,Portland Thorns FC,Bay FC,Providence Park,home_venue,"May 20, 2026  10:00 PM  —  Portland Thorns FC vs Bay FC"
9,20/05/2026 22:00,"May 20, 2026",10:00 PM,Wednesday,May,2026-05-20,Angel City FC,Kansas City Current,BMO Stadium,home_venue,"May 20, 2026  10:00 PM  —  Angel City FC vs Kansas City Current"
9,22/05/2026 20:00,"May 22, 2026",8:00 PM,Friday,May,2026-05-22,Boston Legacy FC,Seattle Reign FC,Centreville Bank Stadium,fifa_displaced,"May 22, 2026  8:00 PM  —  Boston Legacy FC vs Seattle Reign FC"
9,23/05/2026 16:00,"May 23, 2026",4:00 PM,Saturday,May,2026-05-23,Racing Louisville FC,North Carolina Courage,Lynn Family Stadium,home_venue,"May 23, 2026  4:00 PM  —  Racing Louisville FC vs North Carolina Courage"
9,23/05/2026 18:30,"May 23, 2026",6:30 PM,Saturday,May,2026-05-23,Utah Royals FC,Denver Summit FC,America First Field,home_venue,"May 23, 2026  6:30 PM  —  Utah Royals FC vs Denver Summit FC"
9,23/05/2026 20:45,"May 23, 2026",8:45 PM,Saturday,May,2026-05-23,Houston Dash,Angel City FC,Shell Energy Stadium,home_venue,"May 23, 2026  8:45 PM  —  Houston Dash vs Angel City FC"
9,24/05/2026 13:00,"May 24, 2026",1:00 PM,Sunday,May,2026-05-24,Kansas City Current,Portland Thorns FC,CPKC Stadium,home_venue,"May 24, 2026  1:00 PM  —  Kansas City Current vs Portland Thorns FC"
9,24/05/2026 17:00,"May 24, 2026",5:00 PM,Sunday,May,2026-05-24,Bay FC,Chicago Stars FC,PayPal Park,home_venue,"May 24, 2026  5:00 PM  —  Bay FC vs Chicago Stars FC"
9,24/05/2026 19:00,"May 24, 2026",7:00 PM,Sunday,May,2026-05-24,San Diego Wave FC,Orlando Pride,Snapdragon Stadium,home_venue,"May 24, 2026  7:00 PM  —  San Diego Wave FC vs Orlando Pride"
10,29/05/2026 19:00,"May 29, 2026",7:00 PM,Friday,May,2026-05-29,Orlando Pride,Bay FC,INTER&Co Stadium,home_venue,"May 29, 2026  7:00 PM  —  Orlando Pride vs Bay FC"
10,29/05/2026 20:00,"May 29, 2026",8:00 PM,Friday,May,2026-05-29,Racing Louisville FC,Denver Summit FC,Lynn Family Stadium,home_venue,"May 29, 2026  8:00 PM  —  Racing Louisville FC vs Denver Summit FC"
10,30/05/2026 13:30,"May 30, 2026",1:30 PM,Saturday,May,2026-05-30,Kansas City Current,Boston Legacy FC,CPKC Stadium,home_venue,"May 30, 2026  1:30 PM  —  Kansas City Current vs Boston Legacy FC"
10,30/05/2026 16:00,"May 30, 2026",4:00 PM,Saturday,May,2026-05-30,Portland Thorns FC,Utah Royals FC,Providence Park,home_venue,"May 30, 2026  4:00 PM  —  Portland Thorns FC vs Utah Royals FC"
10,30/05/2026 18:30,"May 30, 2026",6:30 PM,Saturday,May,2026-05-30,Washington Spirit,Seattle Reign FC,Audi Field,home_venue,"May 30, 2026  6:30 PM  —  Washington Spirit vs Seattle Reign FC"
10,31/05/2026 13:00,"May 31, 2026",1:00 PM,Sunday,May,2026-05-31,Chicago Stars FC,San Diego Wave FC,Northwestern Martin Stadium (temporary),home_venue,"May 31, 2026  1:00 PM  —  Chicago Stars FC vs San Diego Wave FC"
10,31/05/2026 15:00,"May 31, 2026",3:00 PM,Sunday,May,2026-05-31,NJ/NY Gotham FC,Houston Dash,Red Bull Arena,home_venue,"May 31, 2026  3:00 PM  —  NJ/NY Gotham FC vs Houston Dash"
10,31/05/2026 19:00,"May 31, 2026",7:00 PM,Sunday,May,2026-05-31,Angel City FC,North Carolina Courage,BMO Stadium,home_venue,"May 31, 2026  7:00 PM  —  Angel City FC vs North Carolina Courage"
11,03/07/2026 20:00,"July 03, 2026",8:00 PM,Friday,July,2026-07-03,Washington Spirit,Houston Dash,Audi Field,home_venue,"July 03, 2026  8:00 PM  —  Washington Spirit vs Houston Dash"
11,03/07/2026 21:30,"July 03, 2026",9:30 PM,Friday,July,2026-07-03,Denver Summit FC,Kansas City Current,Centennial Stadium,home_venue,"July 03, 2026  9:30 PM  —  Denver Summit FC vs Kansas City Current"
11,03/07/2026 22:00,"July 03, 2026",10:00 PM,Friday,July,2026-07-03,Angel City FC,Orlando Pride,BMO Stadium,home_venue,"July 03, 2026  10:00 PM  —  Angel City FC vs Orlando Pride"
11,04/07/2026 18:30,"July 04, 2026",6:30 PM,Saturday,July,2026-07-04,North Carolina Courage,Seattle Reign FC,First Horizon Stadium at WakeMed Soccer Park,home_venue,"July 04, 2026  6:30 PM  —  North Carolina Courage vs Seattle Reign FC"
11,04/07/2026 20:45,"July 04, 2026",8:45 PM,Saturday,July,2026-07-04,San Diego Wave FC,NJ/NY Gotham FC,Snapdragon Stadium,home_venue,"July 04, 2026  8:45 PM  —  San Diego Wave FC vs NJ/NY Gotham FC"
11,05/07/2026 12:00,"July 05, 2026",12:00 PM,Sunday,July,2026-07-05,Boston Legacy FC,Bay FC,Centreville Bank Stadium,fifa_displaced,"July 05, 2026  12:00 PM  —  Boston Legacy FC vs Bay FC"
11,05/07/2026 17:00,"July 05, 2026",5:00 PM,Sunday,July,2026-07-05,Chicago Stars FC,Utah Royals FC,Northwestern Martin Stadium (temporary),home_venue,"July 05, 2026  5:00 PM  —  Chicago Stars FC vs Utah Royals FC"
